instance_file,n_items,capacity,dp_value,dp_weight,dp_feasible,dp_time_ms,gnn_value,gnn_weight,gnn_feasible,gnn_time_ms,gap_gnn,dqn_value,dqn_weight,dqn_feasible,dqn_time_ms,gap_dqn,dp_selected_items,gnn_selected_items,dqn_selected_items
instance_0858.npz,117,708.0,867.0,708.0,1,3.0257999897003174,849.0,708.0,1,1.9922000064980239,0.020761245674740483,733.0,708.0,1,16.49529999,0.15455594002306805,"[21, 22, 29, 34, 35, 39, 42, 55, 59, 65, 67, 81, 86, 101, 110]","[21, 34, 35, 41, 42, 46, 56, 65, 81, 86, 101, 107, 110, 111]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 22, 26]"
instance_0859.npz,188,358.0,455.0,358.0,1,1.8930999794974923,444.0,356.0,1,2.3095000069588423,0.024175824175824177,372.0,358.0,1,26.3608,0.1824175824175824,"[76, 90, 146, 161, 172]","[76, 80, 85, 90, 115, 121, 159, 161, 176]","[0, 1, 2, 3, 4, 9]"
instance_0860.npz,80,616.0,770.0,616.0,1,1.7234999977517873,758.0,616.0,1,1.7685999919194728,0.015584415584415584,676.0,614.0,1,11.30050002,0.12207792207792208,"[2, 9, 16, 27, 31, 43, 51, 53, 60, 61, 77]","[0, 7, 9, 16, 27, 28, 43, 51, 53, 58, 60, 63, 69, 77]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 14, 27, 28, 48, 63]"
instance_0861.npz,175,266.0,340.0,266.0,1,1.193600008264184,333.0,265.0,1,2.0838999771513045,0.020588235294117647,300.0,266.0,1,24.82029999,0.11764705882352941,"[20, 32, 40, 73, 149]","[32, 79, 126, 149, 156]","[0, 1, 2, 3, 4, 5, 16, 17, 19]"
instance_0862.npz,194,695.0,876.0,695.0,1,4.355999990366399,864.0,695.0,1,2.2775999968871474,0.0136986301369863,741.0,695.0,1,27.48660001,0.1541095890410959,"[14, 20, 37, 42, 45, 57, 106, 131, 138, 159, 169, 171, 178]","[14, 37, 45, 57, 94, 100, 171, 178, 183, 184]","[0, 1, 2, 3, 4, 5, 10, 12, 14, 15, 16, 18, 42, 57, 135]"
instance_0863.npz,150,506.0,647.0,506.0,1,2.463200013153255,639.0,505.0,1,2.0095999934710562,0.012364760432766615,576.0,505.0,1,21.07610001,0.10973724884080371,"[16, 21, 26, 30, 42, 54, 78, 79, 117]","[21, 26, 30, 56, 72, 78, 79, 114, 130]","[0, 1, 2, 3, 4, 5, 8, 9, 16, 17]"
instance_0864.npz,108,392.0,499.0,392.0,1,1.2583000061567873,493.0,392.0,1,1.8683999951463193,0.012024048096192385,410.0,390.0,1,15.0782,0.17835671342685372,"[21, 28, 35, 68, 86, 87, 97]","[13, 20, 46, 68, 78, 86, 91]","[1, 3, 4, 5, 6, 10, 16, 21, 22, 42, 46]"
instance_0865.npz,129,753.0,959.0,753.0,1,3.2627999898977578,945.0,752.0,1,1.9417000003159046,0.014598540145985401,811.0,753.0,1,17.92679998,0.1543274244004171,"[5, 10, 19, 21, 27, 31, 33, 55, 56, 62, 67, 70, 72]","[10, 17, 19, 27, 31, 33, 42, 51, 56, 62, 98, 100, 123, 126]","[0, 1, 2, 3, 4, 5, 6, 9, 12, 14, 18, 19, 20, 21, 25, 34, 43, 49]"
instance_0866.npz,91,580.0,718.0,580.0,1,1.763499982189387,699.0,579.0,1,1.726799993775785,0.026462395543175487,654.0,577.0,1,12.59230002,0.08913649025069638,"[2, 5, 12, 13, 56, 57, 74, 76, 89]","[2, 5, 10, 12, 23, 31, 37, 44, 45, 57, 61, 69, 74, 76, 82, 87]","[0, 1, 2, 3, 4, 5, 11, 12, 14, 20, 23]"
instance_0867.npz,117,404.0,517.0,404.0,1,1.3909999979659915,500.0,403.0,1,1.97049998678267,0.03288201160541586,423.0,404.0,1,16.3748,0.18181818181818182,"[12, 34, 51, 65, 80, 82, 105, 115]","[2, 15, 17, 34, 51, 74, 82, 83, 88, 98, 102, 105, 108, 110, 115]","[0, 1, 2, 3, 4, 5, 6, 8, 30, 40, 42]"
