instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0352.npz,157,786,786,983,1,4.69959998736158,"[29, 30, 49, 55, 58, 75, 90, 91, 94, 97, 104, 105, 108, 111, 156]"
instance_0353.npz,134,762,762,963,1,3.671000013127923,"[4, 5, 20, 31, 46, 62, 64, 65, 75, 77, 89, 93, 111]"
instance_0354.npz,121,271,271,347,1,0.8254999993368983,"[7, 8, 51, 59]"
instance_0355.npz,109,758,758,959,1,2.974899980472401,"[14, 17, 36, 40, 51, 55, 64, 72, 74, 81, 87, 91, 97, 106]"
instance_0356.npz,189,301,301,384,1,1.520699996035546,"[46, 77, 87, 88, 128, 187]"
instance_0357.npz,89,326,326,403,1,0.8353999874088913,"[4, 16, 27, 37, 42, 55, 61, 73, 82]"
instance_0358.npz,93,753,753,939,1,2.812499995343387,"[17, 29, 33, 34, 44, 48, 50, 58, 60, 61, 82, 84, 87, 89, 92]"
instance_0359.npz,149,594,594,750,1,2.926299988757819,"[7, 21, 34, 42, 48, 63, 67, 84, 107, 117, 122, 134, 138]"
instance_0360.npz,81,290,290,370,1,0.6234000029508024,"[9, 22, 44, 60]"
instance_0361.npz,98,393,393,496,1,1.2719999940600246,"[2, 6, 9, 24, 27, 40, 44, 47, 51, 59, 85]"
instance_0362.npz,187,377,377,485,1,2.2766999900341034,"[7, 36, 95, 119, 162]"
instance_0363.npz,136,717,717,900,1,3.5385999944992363,"[19, 26, 71, 72, 85, 89, 96, 103, 122, 126, 129, 133, 135]"
instance_0364.npz,158,217,217,278,1,0.8978999976534396,"[30, 94, 100, 116, 133]"
instance_0365.npz,101,529,529,672,1,1.8820999830495566,"[16, 18, 22, 34, 35, 47, 97]"
instance_0366.npz,182,325,325,415,1,2.964499988593161,"[43, 64, 65, 95, 117, 132]"
instance_0367.npz,94,227,227,288,1,0.6041000015102327,"[13, 45, 57, 59, 81]"
instance_0368.npz,160,783,783,990,1,4.43149998318404,"[0, 9, 48, 51, 52, 73, 104, 107, 112, 119, 120, 131, 150]"
instance_0369.npz,162,360,360,462,1,1.7413999885320663,"[8, 15, 58, 73, 120, 159]"
instance_0370.npz,182,359,359,459,1,1.94980000378564,"[33, 39, 63, 75, 85, 130, 167]"
instance_0371.npz,144,204,204,263,1,0.7333999965339899,"[9, 12, 75]"
instance_0372.npz,108,531,531,676,1,1.9323999877087772,"[8, 14, 15, 34, 36, 38, 42, 71, 85]"
instance_0373.npz,153,286,286,366,1,1.1424999975133687,"[6, 27, 72, 80, 98, 135]"
instance_0374.npz,164,415,415,529,1,1.9643999985419214,"[0, 91, 97, 103, 139, 143, 162]"
instance_0375.npz,155,634,634,810,1,3.339300019433722,"[10, 46, 52, 62, 64, 67, 69, 109, 133]"
instance_0376.npz,189,485,485,622,1,2.8190000157337636,"[7, 56, 63, 70, 88, 99, 101, 129]"
instance_0377.npz,194,563,563,720,1,3.747900016605854,"[27, 37, 38, 122, 126, 127, 137, 139, 187]"
instance_0378.npz,152,291,291,369,1,1.2203000078443438,"[2, 8, 13, 18, 24, 85, 91]"
instance_0379.npz,118,408,408,519,1,1.4668999938294291,"[10, 21, 31, 38, 39, 59, 81, 117]"
instance_0380.npz,188,315,315,398,1,1.6878000169526786,"[2, 17, 19, 40, 114, 123, 154]"
instance_0381.npz,87,762,762,954,1,2.3784000077284873,"[2, 14, 20, 24, 33, 38, 53, 66, 71, 74, 75, 83, 84]"
